boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
The Bronx,47,No,25-44,Male,Black
Manhattan,6,Yes,45-64,Male,White
Brooklyn,77,No,18-24,Male,Black
Queens,114,No,25-44,Male,Black
Brooklyn,75,No,25-44,Male,Black
Brooklyn,69,No,18-24,Male,Unknown
Queens,113,No,45-64,Male,Black
The Bronx,42,Yes,25-44,Male,Black
The Bronx,40,No,18-24,Male,White Hispanic
The Bronx,40,No,45-64,Male,Black
Manhattan,25,No,25-44,Male,White Hispanic
Queens,103,No,45-64,Male,Black
Manhattan,23,No,18 And Under,Male,Black
Brooklyn,81,No,25-44,Male,Black
The Bronx,48,No,18-24,Female,White Hispanic
Manhattan,25,No,18 And Under,Male,Black
The Bronx,48,No,18-24,Male,Black Hispanic
The Bronx,47,No,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black
Brooklyn,81,No,25-44,Male,Black
Brooklyn,81,No,45-64,Male,Black
The Bronx,50,No,25-44,Male,Black
The Bronx,42,Yes,25-44,Male,Black
The Bronx,44,No,25-44,Male,White Hispanic
The Bronx,43,Yes,18-24,Male,Black
The Bronx,42,No,25-44,Male,Black
Brooklyn,81,Yes,18-24,Male,Black
Brooklyn,67,No,18-24,Male,Black
Queens,101,Yes,18-24,Male,White Hispanic
Queens,101,Yes,18-24,Male,White Hispanic
Queens,101,Yes,18-24,Male,White Hispanic
Brooklyn,90,No,25-44,Male,Black
Manhattan,26,No,18-24,Male,White Hispanic
The Bronx,46,No,25-44,Male,Black Hispanic
The Bronx,46,Yes,25-44,Male,Black Hispanic
Queens,105,No,25-44,Male,Black
The Bronx,42,No,25-44,Female,Black Hispanic
The Bronx,44,Yes,18-24,Male,White Hispanic
The Bronx,42,No,25-44,Male,Black
The Bronx,47,No,25-44,Male,Black
Staten Island,120,Yes,25-44,Male,Black
Staten Island,120,Yes,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black
Brooklyn,73,No,18 And Under,Male,Black
Brooklyn,62,Yes,18-24,Male,White
Queens,105,No,25-44,Male,Black
Brooklyn,69,No,Unknown,Unkown,Unknown
Brooklyn,69,No,Unknown,Unkown,Unknown
Queens,102,No,18-24,Female,Black
Queens,102,No,25-44,Female,Black
Queens,102,No,25-44,Female,White Hispanic
Queens,102,No,25-44,Male,Black
Staten Island,120,No,25-44,Male,Black
Staten Island,120,No,25-44,Male,Black
Staten Island,120,No,25-44,Male,Black
Brooklyn,90,No,25-44,Male,Black
The Bronx,48,No,18-24,Male,Black Hispanic
Brooklyn,71,No,18 And Under,Male,Black
The Bronx,52,No,18 And Under,Female,White Hispanic
Brooklyn,73,No,25-44,Male,Black
Brooklyn,67,No,18-24,Male,Black
Brooklyn,79,Yes,25-44,Male,Black
Brooklyn,81,No,18-24,Male,Black
Brooklyn,81,No,18-24,Male,Black
Brooklyn,81,Yes,18-24,Male,Black
Manhattan,34,No,18-24,Male,Black Hispanic
Staten Island,120,No,18-24,Male,Black
Brooklyn,70,No,18-24,Male,Black
Manhattan,33,No,18-24,Male,White Hispanic
The Bronx,49,No,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black
Manhattan,25,No,18-24,Male,Black
Brooklyn,88,No,25-44,Male,Black
Queens,110,No,25-44,Male,Black
Brooklyn,79,No,25-44,Male,Black
The Bronx,43,No,18 And Under,Female,Black
Brooklyn,71,No,18-24,Male,Black
Brooklyn,73,No,25-44,Male,Black
The Bronx,42,No,45-64,Male,Black
Brooklyn,75,No,18-24,Male,White Hispanic
Queens,108,No,45-64,Male,Black Hispanic
Queens,108,No,45-64,Male,Black Hispanic
Brooklyn,73,No,25-44,Female,Black
Brooklyn,83,No,45-64,Male,White Hispanic
Brooklyn,73,No,25-44,Male,White
The Bronx,44,Yes,45-64,Female,Black Hispanic
Brooklyn,70,No,25-44,Female,Black
Brooklyn,70,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,White Hispanic
The Bronx,44,Yes,25-44,Male,Black
The Bronx,44,Yes,25-44,Male,White Hispanic
The Bronx,44,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,White Hispanic
The Bronx,44,Yes,25-44,Male,Black
The Bronx,44,Yes,25-44,Male,White Hispanic
Brooklyn,73,No,18 And Under,Male,Black
Brooklyn,70,No,18-24,Male,White Hispanic
Brooklyn,70,No,18-24,Male,White Hispanic
Brooklyn,69,No,18-24,Male,Asian or Pacific Islander
The Bronx,47,No,18-24,Male,Black
The Bronx,47,No,18-24,Male,Black
The Bronx,47,No,18-24,Male,Black
The Bronx,42,No,25-44,Male,Black
Queens,114,No,25-44,Male,Unknown
Queens,114,No,25-44,Male,Unknown
Brooklyn,75,No,18-24,Male,Black
Brooklyn,73,No,18-24,Male,Black
The Bronx,52,No,25-44,Male,White Hispanic
Manhattan,30,No,45-64,Male,Black
The Bronx,44,No,25-44,Male,Black
Brooklyn,81,No,25-44,Male,Black
Brooklyn,79,Yes,25-44,Male,Black
The Bronx,44,No,18 And Under,Male,Black
Brooklyn,71,No,45-64,Male,Black
Manhattan,32,No,25-44,Male,Black
Brooklyn,77,No,18-24,Male,Black
The Bronx,47,No,25-44,Male,White Hispanic
Brooklyn,83,Yes,45-64,Female,Black Hispanic
The Bronx,43,No,25-44,Male,Black
The Bronx,43,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black
Manhattan,28,No,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black
Brooklyn,77,No,25-44,Male,Black
Queens,109,Yes,25-44,Male,White Hispanic
Queens,114,No,18-24,Male,White Hispanic
Manhattan,34,No,18-24,Male,White Hispanic
The Bronx,47,No,18-24,Male,Black
The Bronx,42,No,25-44,Male,Black
Manhattan,25,No,25-44,Male,Black
Brooklyn,75,No,45-64,Male,White
Queens,103,Yes,18-24,Male,Black
The Bronx,41,No,25-44,Male,Black
Brooklyn,69,Yes,25-44,Male,Black Hispanic
Brooklyn,69,Yes,25-44,Male,Black Hispanic
Brooklyn,70,No,25-44,Female,Asian or Pacific Islander
Brooklyn,77,Yes,25-44,Male,Black
Brooklyn,88,No,25-44,Male,Black Hispanic
Manhattan,34,No,25-44,Male,White Hispanic
Manhattan,33,No,18-24,Male,White Hispanic
Manhattan,33,No,18 And Under,Female,Black Hispanic
The Bronx,40,No,25-44,Female,Black Hispanic
Brooklyn,70,No,18 And Under,Male,Black
Queens,103,No,25-44,Male,Black
Manhattan,23,No,18-24,Male,White Hispanic
Brooklyn,70,No,18 And Under,Male,Black
The Bronx,40,No,25-44,Male,White Hispanic
Brooklyn,61,No,18-24,Female,White
The Bronx,44,No,45-64,Male,Black Hispanic
Brooklyn,73,No,18-24,Male,Black
Brooklyn,73,No,25-44,Male,Black
Brooklyn,77,No,18-24,Male,Black
The Bronx,40,No,25-44,Male,Black
The Bronx,47,No,25-44,Male,Black
The Bronx,50,No,18-24,Male,White Hispanic
Staten Island,123,No,18-24,Male,Black
Brooklyn,61,Yes,Over 65,Male,White
Brooklyn,77,No,18-24,Male,Black
The Bronx,52,No,25-44,Male,Black Hispanic
Brooklyn,81,No,25-44,Male,Black
Manhattan,25,No,18-24,Male,Black
The Bronx,42,No,25-44,Male,Black
The Bronx,42,Yes,25-44,Male,Black
The Bronx,42,No,18 And Under,Male,Black
The Bronx,42,Yes,18 And Under,Male,Black
Brooklyn,71,No,25-44,Male,Black
Manhattan,34,No,18 And Under,Male,White Hispanic
Queens,103,No,18-24,Male,Black
The Bronx,50,No,25-44,Male,White Hispanic
Manhattan,34,No,18-24,Male,White Hispanic
Manhattan,34,No,18-24,Male,White Hispanic
Brooklyn,67,No,25-44,Male,Black
The Bronx,43,No,18-24,Male,Black
Brooklyn,61,No,18-24,Male,Black
The Bronx,43,No,18-24,Female,Black
The Bronx,43,No,18-24,Female,Black
The Bronx,43,No,18-24,Female,Black
The Bronx,43,No,18-24,Female,Black
The Bronx,49,Yes,25-44,Male,Black
The Bronx,48,No,25-44,Male,Black
Brooklyn,75,No,18 And Under,Male,Black
The Bronx,52,No,25-44,Male,Black
Brooklyn,69,No,25-44,Male,Black
The Bronx,44,No,18-24,Male,Black
The Bronx,41,No,25-44,Male,White Hispanic
The Bronx,40,No,45-64,Male,Black
Queens,113,Yes,25-44,Male,Black
The Bronx,47,No,18-24,Male,Black
The Bronx,40,No,18-24,Male,Black
Brooklyn,70,Yes,25-44,Male,Black
Brooklyn,83,Yes,18-24,Female,White Hispanic
The Bronx,48,No,18 And Under,Male,Black
Queens,102,Yes,25-44,Male,Black
The Bronx,46,No,45-64,Male,Black
The Bronx,46,No,45-64,Male,Black
Manhattan,26,No,25-44,Male,Black
The Bronx,46,No,25-44,Male,Black
The Bronx,40,No,25-44,Male,Black
Brooklyn,76,Yes,25-44,Male,Black
The Bronx,46,No,25-44,Male,Black
The Bronx,46,No,18-24,Male,White Hispanic
The Bronx,46,No,25-44,Male,White Hispanic
Brooklyn,75,Yes,18-24,Female,Unknown
Brooklyn,78,No,25-44,Male,White
The Bronx,42,No,25-44,Male,Black
The Bronx,47,No,25-44,Male,Black
The Bronx,44,Yes,Over 65,Male,White
Staten Island,120,No,25-44,Male,White
Brooklyn,67,No,25-44,Male,Black
Brooklyn,73,No,18-24,Male,Unknown
Staten Island,120,No,25-44,Male,White
The Bronx,48,No,18-24,Male,Black
The Bronx,48,No,18-24,Male,Black
The Bronx,48,No,18-24,Male,Black
Brooklyn,81,No,25-44,Male,Black
The Bronx,46,No,25-44,Male,Black
Brooklyn,69,No,18-24,Male,Black
The Bronx,47,No,25-44,Male,Black
Brooklyn,84,No,18-24,Male,Black
Brooklyn,84,No,18 And Under,Male,Black
Manhattan,28,No,25-44,Male,Black Hispanic
Queens,109,Yes,25-44,Male,Black
Queens,109,Yes,25-44,Male,Black
Queens,115,Yes,25-44,Male,Black
Brooklyn,75,No,45-64,Female,White
Brooklyn,67,No,18-24,Male,Black
The Bronx,46,No,25-44,Male,Black
Queens,113,No,25-44,Male,Black
Brooklyn,67,No,18 And Under,Male,Black
The Bronx,47,No,25-44,Male,Black
The Bronx,41,No,18-24,Male,Black
The Bronx,42,No,18-24,Male,Black Hispanic
Queens,106,Yes,25-44,Male,Black
Queens,113,Yes,25-44,Male,Black
The Bronx,49,Yes,45-64,Male,Black
Staten Island,121,No,25-44,Male,Black
The Bronx,48,No,25-44,Female,Black
The Bronx,48,No,25-44,Male,Black
Brooklyn,83,No,18-24,Male,Black
The Bronx,44,No,25-44,Male,Black
Brooklyn,67,No,18-24,Female,Black
Brooklyn,67,No,25-44,Female,Black
The Bronx,40,No,45-64,Male,Asian or Pacific Islander
Queens,114,No,18-24,Male,Black
Brooklyn,73,Yes,18 And Under,Male,Black
Queens,114,No,25-44,Female,White
Queens,114,Yes,25-44,Female,White
Queens,114,No,25-44,Male,Black
Queens,114,Yes,25-44,Male,Black
Brooklyn,81,No,18-24,Male,Black
Manhattan,28,No,18-24,Male,Black
Brooklyn,75,No,18-24,Male,Black Hispanic
Manhattan,28,No,25-44,Female,Black
The Bronx,44,No,18-24,Male,White Hispanic
The Bronx,44,No,18-24,Male,White Hispanic
Brooklyn,75,No,25-44,Male,Black
The Bronx,40,No,18 And Under,Male,Black
Manhattan,32,No,25-44,Male,Asian or Pacific Islander
Brooklyn,94,No,25-44,Male,Black
Brooklyn,73,No,18-24,Male,Black
Brooklyn,76,Yes,25-44,Male,Black
The Bronx,46,No,25-44,Male,Black
Brooklyn,77,No,45-64,Female,White
Brooklyn,73,No,25-44,Male,Black
The Bronx,48,No,18-24,Male,Black
The Bronx,50,No,18-24,Male,Black Hispanic
Brooklyn,75,No,25-44,Male,Black
Brooklyn,75,Yes,25-44,Male,Black Hispanic
The Bronx,52,No,18-24,Male,Black
The Bronx,52,No,18-24,Male,Black
Brooklyn,73,No,18-24,Male,White Hispanic
Queens,106,Yes,25-44,Male,Black
Queens,105,Yes,25-44,Male,Black
Brooklyn,90,No,18-24,Male,Black Hispanic
Brooklyn,90,No,18-24,Male,Black Hispanic
Brooklyn,77,No,18-24,Male,White Hispanic
Brooklyn,73,No,25-44,Male,Black
Brooklyn,67,No,45-64,Male,Black
Brooklyn,67,Yes,25-44,Male,Black
The Bronx,44,No,25-44,Male,Black
Queens,105,No,18-24,Male,Black
Brooklyn,78,No,45-64,Male,Black
Queens,105,No,18-24,Male,Black
The Bronx,46,No,25-44,Male,Black Hispanic
The Bronx,46,No,18-24,Male,Black
Brooklyn,63,No,25-44,Female,Black
The Bronx,44,Yes,18-24,Male,Black
Brooklyn,77,No,18-24,Male,Black
Manhattan,34,No,25-44,Male,White Hispanic
Brooklyn,79,Yes,25-44,Male,Black
Brooklyn,79,Yes,45-64,Male,Black
Manhattan,23,Yes,25-44,Male,Black
The Bronx,40,No,18 And Under,Male,Black
Brooklyn,67,No,18-24,Male,Black
The Bronx,50,Yes,25-44,Male,Black
Brooklyn,71,No,18-24,Male,Black
Brooklyn,71,No,25-44,Male,Black
Brooklyn,77,No,25-44,Male,Black
Brooklyn,71,No,25-44,Female,Black
Brooklyn,79,No,25-44,Male,Black
Brooklyn,79,Yes,25-44,Male,Black
Brooklyn,73,No,25-44,Male,Black
Manhattan,34,No,18-24,Male,White Hispanic
Manhattan,34,Yes,18-24,Male,White Hispanic
Manhattan,13,No,25-44,Male,Black
